"","genome_wide_crossovers","n_gametes"
"1",24,3440
"2",25,3377
"3",26,3317
"4",23,3128
"5",27,2984
"6",28,2760
"7",22,2754
"8",21,2397
"9",29,2360
"10",30,1973
"11",20,1844
"12",31,1501
"13",19,1444
"14",32,1234
"15",18,1070
"16",33,858
"17",17,758
"18",34,696
"19",16,471
"20",35,449
"21",36,349
"22",15,326
"23",37,255
"24",14,205
"25",38,158
"26",39,150
"27",40,110
"28",13,103
"29",41,75
"30",42,52
"31",12,50
"32",43,47
"33",44,39
"34",45,37
"35",46,36
"36",47,32
"37",11,24
"38",48,23
"39",50,22
"40",49,20
"41",53,18
"42",55,18
"43",51,17
"44",56,17
"45",52,15
"46",60,15
"47",59,12
"48",54,10
"49",61,10
"50",65,9
"51",58,7
"52",9,6
"53",10,6
"54",57,6
"55",62,6
"56",63,6
"57",64,6
"58",81,5
"59",67,4
"60",68,4
"61",75,4
"62",77,4
"63",94,4
"64",66,3
"65",69,3
"66",70,3
"67",71,3
"68",72,3
"69",78,3
"70",79,3
"71",73,2
"72",82,2
"73",83,2
"74",84,2
"75",85,2
"76",86,2
"77",88,2
"78",116,2
"79",6,1
"80",8,1
"81",74,1
"82",76,1
"83",80,1
"84",87,1
"85",90,1
"86",92,1
"87",98,1
"88",99,1
"89",101,1
"90",104,1
"91",106,1
"92",107,1
"93",110,1
"94",122,1
